Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ben VanSumeren (40392516),Ben VanSumeren,40392516,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0
RB,Audric Estime (40392518),Audric Estime,40392518,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0
RB,Aaron Jones Sr. (40392520),Aaron Jones Sr.,40392520,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,9
RB,Ty Chandler (40392522),Ty Chandler,40392522,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,0
RB,C.J. Ham (40392524),C.J. Ham,40392524,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,0
RB,Corey Kiner (40392526),Corey Kiner,40392526,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,0
RB,Cam Akers (40392528),Cam Akers,40392528,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,MIN,2.39
RB,Tank Bigsby (40392570),Tank Bigsby,40392570,RB/FLEX,4000,PHI@MIN 10/19/2025 01:00PM ET,PHI,0.2
QB,Andy Dalton (40392294),Andy Dalton,40392294,QB,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,3.11
QB,Hendon Hooker (40392315),Hendon Hooker,40392315,QB,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,0
QB,Brady Cook (40392316),Brady Cook,40392316,QB,4000,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,0
RB,DeeJay Dallas (40392502),DeeJay Dallas,40392502,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,0
RB,Jonathon Brooks (40392504),Jonathon Brooks,40392504,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,0
RB,Anthony Tyus III (40392506),Anthony Tyus III,40392506,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,0
RB,Kene Nwangwu (40392508),Kene Nwangwu,40392508,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,0
RB,Khalil Herbert (40392510),Khalil Herbert,40392510,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,0
RB,Braelon Allen (40392512),Braelon Allen,40392512,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,4.08
RB,Andrew Beck (40392514),Andrew Beck,40392514,RB/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,NYJ,1.45
WR,Jalen Coker (40392658),Jalen Coker,40392658,WR/FLEX,4000,CAR@NYJ 10/19/2025 01:00PM ET,CAR,0
QB,Joshua Dobbs (40392310),Joshua Dobbs,40392310,QB,4000,NE@TEN 10/19/2025 01:00PM ET,NE,-0.2
QB,Tommy DeVito (40392311),Tommy DeVito,40392311,QB,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
QB,Brandon Allen (40392312),Brandon Allen,40392312,QB,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0
QB,Will Levis (40392313),Will Levis,40392313,QB,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0
QB,Trevor Siemian (40392314),Trevor Siemian,40392314,QB,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0
RB,Terrell Jennings (40392482),Terrell Jennings,40392482,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Antonio Gibson (40392484),Antonio Gibson,40392484,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,4.84
RB,Lan Larison (40392486),Lan Larison,40392486,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Deneric Prince (40392488),Deneric Prince,40392488,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Jack Westover (40392490),Jack Westover,40392490,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Brock Lampe (40392492),Brock Lampe,40392492,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Jashaun Corbin (40392494),Jashaun Corbin,40392494,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,0
RB,Julius Chestnut (40392496),Julius Chestnut,40392496,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0.52
RB,Kalel Mullings (40392498),Kalel Mullings,40392498,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0
RB,Jordan Mims (40392500),Jordan Mims,40392500,RB/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,TEN,0
WR,DeMario Douglas (40392660),DeMario Douglas,40392660,WR/FLEX,4000,NE@TEN 10/19/2025 01:00PM ET,NE,5.42
QB,Jameis Winston (40392307),Jameis Winston,40392307,QB,4000,NYG@DEN 10/19/2025 04:05PM ET,NYG,0
