Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Austin Hooper (40470706),Austin Hooper,40470706,TE/FLEX,2800,CLE@NE 10/26/2025 01:00PM ET,NE,3.94
TE,Julian Hill (40470716),Julian Hill,40470716,TE/FLEX,2700,MIA@ATL 10/26/2025 01:00PM ET,MIA,2.81
TE,Tommy Tremble (40470714),Tommy Tremble,40470714,TE/FLEX,2700,BUF@CAR 10/26/2025 01:00PM ET,CAR,5.09
DST,Bengals  (40470880),Bengals ,40470880,DST,2700,NYJ@CIN 10/26/2025 01:00PM ET,CIN,2.86
TE,Daniel Bellinger (40470712),Daniel Bellinger,40470712,TE/FLEX,2700,NYG@PHI 10/26/2025 01:00PM ET,NYG,4.76
TE,Tanner Conner (40470722),Tanner Conner,40470722,TE/FLEX,2600,MIA@ATL 10/26/2025 01:00PM ET,MIA,2.21
TE,Isaiah Likely (40470718),Isaiah Likely,40470718,TE/FLEX,2600,CHI@BAL 10/26/2025 01:00PM ET,BAL,1.6
DST,Bears  (40470881),Bears ,40470881,DST,2600,CHI@BAL 10/26/2025 01:00PM ET,CHI,8.33
TE,Nate Adkins (40470720),Nate Adkins,40470720,TE/FLEX,2600,DAL@DEN 10/26/2025 04:25PM ET,DEN,3.36
TE,Charlie Woerner (40470724),Charlie Woerner,40470724,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,ATL,0.08
TE,Teagan Quitoriano (40470726),Teagan Quitoriano,40470726,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,ATL,0
TE,Feleipe Franks (40470728),Feleipe Franks,40470728,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,ATL,0.03
TE,Joshua Simon (40470730),Joshua Simon,40470730,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,ATL,0
TE,Jalin Conyers (40470804),Jalin Conyers,40470804,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,MIA,0
TE,Greg Dulcich (40470806),Greg Dulcich,40470806,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,MIA,0
TE,Hayden Rucci (40470808),Hayden Rucci,40470808,TE/FLEX,2500,MIA@ATL 10/26/2025 01:00PM ET,MIA,0
TE,Durham Smythe (40470748),Durham Smythe,40470748,TE/FLEX,2500,CHI@BAL 10/26/2025 01:00PM ET,CHI,0
TE,Nikola Kalinic (40470750),Nikola Kalinic,40470750,TE/FLEX,2500,CHI@BAL 10/26/2025 01:00PM ET,CHI,0
TE,Stephen Carlson (40470752),Stephen Carlson,40470752,TE/FLEX,2500,CHI@BAL 10/26/2025 01:00PM ET,CHI,0
TE,Charlie Kolar (40470866),Charlie Kolar,40470866,TE/FLEX,2500,CHI@BAL 10/26/2025 01:00PM ET,BAL,1.03
TE,Zaire Mitchell-Paden (40470868),Zaire Mitchell-Paden,40470868,TE/FLEX,2500,CHI@BAL 10/26/2025 01:00PM ET,BAL,0.22
TE,Jackson Hawes (40470732),Jackson Hawes,40470732,TE/FLEX,2500,BUF@CAR 10/26/2025 01:00PM ET,BUF,2.57
TE,Keleki Latu (40470734),Keleki Latu,40470734,TE/FLEX,2500,BUF@CAR 10/26/2025 01:00PM ET,BUF,0
TE,James Mitchell (40470862),James Mitchell,40470862,TE/FLEX,2500,BUF@CAR 10/26/2025 01:00PM ET,CAR,1.93
TE,Bryce Pierre (40470864),Bryce Pierre,40470864,TE/FLEX,2500,BUF@CAR 10/26/2025 01:00PM ET,CAR,0
TE,Drew Sample (40470754),Drew Sample,40470754,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,1.91
TE,Tanner Hudson (40470756),Tanner Hudson,40470756,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,2.2
TE,Cam Grandy (40470758),Cam Grandy,40470758,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,0.53
TE,Mike Gesicki (40470760),Mike Gesicki,40470760,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,2.35
TE,Erick All Jr. (40470762),Erick All Jr.,40470762,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,0
TE,William Wagner (40470764),William Wagner,40470764,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,CIN,0
TE,Jeremy Ruckert (40470830),Jeremy Ruckert,40470830,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,3.03
TE,Stone Smartt (40470832),Stone Smartt,40470832,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,0
TE,Jelani Woods (40470834),Jelani Woods,40470834,TE/FLEX,2500,NYJ@CIN 10/26/2025 01:00PM ET,NYJ,0
TE,Harrison Bryant (40470736),Harrison Bryant,40470736,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,0.3
TE,Brenden Bates (40470738),Brenden Bates,40470738,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,1.43
TE,Cade Stover (40470740),Cade Stover,40470740,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,6.2
TE,Brevin Jordan (40470742),Brevin Jordan,40470742,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,0
TE,Luke Lachey (40470744),Luke Lachey,40470744,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,0
TE,Jakob Johnson (40470746),Jakob Johnson,40470746,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,HOU,0
TE,Luke Farrell (40470848),Luke Farrell,40470848,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,SF,2.54
TE,Messiah Swinson (40470850),Messiah Swinson,40470850,TE/FLEX,2500,SF@HOU 10/26/2025 01:00PM ET,SF,0
TE,Blake Whiteheart (40470766),Blake Whiteheart,40470766,TE/FLEX,2500,CLE@NE 10/26/2025 01:00PM ET,CLE,0.34
TE,Sal Cannella (40470768),Sal Cannella,40470768,TE/FLEX,2500,CLE@NE 10/26/2025 01:00PM ET,CLE,0
TE,Thomas Odukoya (40470810),Thomas Odukoya,40470810,TE/FLEX,2500,CLE@NE 10/26/2025 01:00PM ET,NE,0
TE,CJ Dippre (40470812),CJ Dippre,40470812,TE/FLEX,2500,CLE@NE 10/26/2025 01:00PM ET,NE,0
DST,Browns  (40470882),Browns ,40470882,DST,2500,CLE@NE 10/26/2025 01:00PM ET,CLE,7
TE,Chris Manhertz (40470826),Chris Manhertz,40470826,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,NYG,0.24
TE,Thomas Fidone II (40470828),Thomas Fidone II,40470828,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,NYG,0
TE,Grant Calcaterra (40470836),Grant Calcaterra,40470836,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,1.6
TE,Kylen Granson (40470838),Kylen Granson,40470838,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,0.37
TE,Cameron Latu (40470840),Cameron Latu,40470840,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,0
TE,E.J. Jenkins (40470842),E.J. Jenkins,40470842,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,0
TE,Cal Adomitis (40470844),Cal Adomitis,40470844,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,0
TE,Jaheim Bell (40470846),Jaheim Bell,40470846,TE/FLEX,2500,NYG@PHI 10/26/2025 01:00PM ET,PHI,0
TE,Foster Moreau (40470814),Foster Moreau,40470814,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,0.63
TE,Jack Stoll (40470816),Jack Stoll,40470816,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,1.69
TE,Mason Pline (40470818),Mason Pline,40470818,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,0
TE,Treyton Welch (40470820),Treyton Welch,40470820,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,0
TE,Moliki Matavao (40470822),Moliki Matavao,40470822,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,0
TE,Zach Wood (40470824),Zach Wood,40470824,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,NO,0
TE,Payne Durham (40470852),Payne Durham,40470852,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,TB,0
TE,Devin Culp (40470854),Devin Culp,40470854,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,TB,0
TE,Ko Kieft (40470856),Ko Kieft,40470856,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,TB,0
TE,Evan Deckers (40470858),Evan Deckers,40470858,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,TB,0
TE,Tanner Taula (40470860),Tanner Taula,40470860,TE/FLEX,2500,TB@NO 10/26/2025 04:05PM ET,TB,0
TE,Luke Schoonmaker (40470770),Luke Schoonmaker,40470770,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DAL,1.06
TE,Brevyn Spann-Ford (40470772),Brevyn Spann-Ford,40470772,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DAL,0.36
TE,John Stephens Jr. (40470774),John Stephens Jr.,40470774,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
TE,Rivaldo Fairweather (40470776),Rivaldo Fairweather,40470776,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
TE,Princeton Fant (40470778),Princeton Fant,40470778,TE/FLEX,2500,DAL@DEN 10/26/2025 04:25PM ET,DAL,0
